,headers_text,headers_link
0,"Aída Merlano también se enfermó: por problemas de salud no asistió a la audiencia en ...
jue, 13 abr 2023 / By Juan Felipe Sacristán
Los magistrados de la Corte Suprema de Justicia se quedaron con la toga puesta por segunda vez a la espera ...",https://www.infobae.com/colombia/2023/04/13/aida-merlano-tambien-se-enfermo-por-problemas-de-salud-no-asistio-a-la-audiencia-en-su-contra-por-compra-de-votos/
1,"Indagatoria del expresidente del Senado Arturo Char por compra de votos fue aplazada por tercera ...
mar, 21 mar 2023
Para hoy en la mañana se encontraba programada la audiencia de indagatoria en contra de Arturo Char , sin embargo, ...",https://www.infobae.com/colombia/2023/03/21/indagatoria-del-expresidente-del-senado-arturo-char-por-compra-de-votos-fue-aplazada-por-tercera-vez-cual-fue-la-razon/
2,"El expresidente del Congreso Arturo Char tendrá que seguir respondiendo por presunta compra de votos ...
mar, 7 feb 2023 / By Juan Felipe Sacristán
La investigación contra Arturo Char por presuntamente haber participado en la compra de votos de la exsenadora Aída Merlano seguirá ...",https://www.infobae.com/colombia/2023/02/07/el-expresidente-del-congreso-arturo-char-tendra-que-seguir-respondiendo-por-presunta-compra-de-votos-ante-la-corte-suprema/
3,"Exsenador Arturo Char logró aplazar su indagatoria en la Corte Suprema de Justicia por presunta ...
mar, 24 ene 2023
El que fuera presidente del Senado durante las legislaturas de 2006-2007 y de 2020-2021, Arturo Char, se salió con la ...",https://www.infobae.com/colombia/2023/01/24/exsenador-arturo-char-logro-aplazar-su-indagatoria-en-la-corte-suprema-de-justicia-por-presunta-compra-de-votos/
4,"Corte Suprema negó tutela presentada por el exsenador Arturo Char: lo investigan por corrupción electoral
mar, 16 may 2023 / By Mario Alejandro Rodríguez
La Sala de Casación Penal de la Corte Suprema de Justicia desestimó este martes 16 de mayo la acción de ...",https://www.infobae.com/colombia/2023/05/16/corte-suprema-nego-tutela-presentada-por-el-exsenador-arturo-char-lo-investigan-por-corrupcion-electoral/
5,"Por la compra de votos de Aida Merlano, Corte Suprema abrió proceso penal contra el ...
mar, 29 nov 2022
La Sala de Instrucción de la Corte Suprema de Justicia hizo oficial la apertura del proceso penal en contra el ...",https://www.infobae.com/america/colombia/2022/11/29/por-la-compra-de-votos-de-aida-merlano-corte-suprema-abrio-proceso-penal-contra-el-expresidente-del-senado-arturo-char/
6,"Corte Suprema llama a Arturo Char a indagatoria por escándalo de compra de votos
vie, 25 nov 2022
Ante la Sala de Instrucción de la Corte Suprema de Justicia deberá rendir indagatoria al expresidente del Congreso Arturo Char ...",https://www.infobae.com/america/colombia/2022/11/25/corte-suprema-llama-a-arturo-char-a-indagatoria-por-escandalo-de-compra-de-votos/
7,"La Corte Suprema de Justicia le negó a Aida Merlano nuevo plazo para presentar pruebas ...
jue, 16 jun 2022
El caso de la compra de votos en la campaña de Aida Merlano no es nueva, esta lleva desde el ...",https://www.infobae.com/america/colombia/2022/06/16/la-corte-suprema-de-justicia-le-nego-a-aida-merlano-nuevo-plazo-para-presentar-pruebas-en-proceso-por-compra-de-votos/
8,"“El Atlántico es más costoso que cualquier departamento”: senador del Partido Conservador vinculado con la ...
mié, 16 feb 2022
La masiva compra de votos en la costa Caribe sigue generando revelaciones, este miércoles se conoció un nuevo audio en ...",https://www.infobae.com/america/colombia/2022/02/16/el-atlantico-es-mas-costoso-que-cualquier-departamento-senador-del-partido-conservador-vinculado-con-la-compra-de-votos/
9,"Campaña de Gustavo Petro estaría utilizando material de Federico Gutiérrez para representar la compra de ...
jue, 19 may 2022
En los últimos días ha circulado en redes sociales una campaña denominada ‘ElVotoEsSecretosky’ en apoyo al candidato Gustavo Petro, impulsada ...",https://www.infobae.com/america/colombia/2022/05/20/campana-de-gustavo-petro-estaria-utilizando-material-de-federico-gutierrez-para-representar-la-compra-de-votos/
10,"Estas son las medidas del Gobierno nacional para combatir la compra de votos en las ...
mar, 14 jun 2022
La compra de votos es uno de los delitos a los que las autoridades colombianas le ponen la lupa en ...",https://www.infobae.com/america/colombia/2022/06/14/estas-son-las-medidas-del-gobierno-nacional-para-combatir-la-compra-de-votos-en-las-elecciones-presidenciales/
11,"Ingrid Betancourt aseguró que habrá fraude en la segunda vuelta y que Gustavo Petro quieren ...
lun, 13 jun 2022
Este 19 de junio se llevará acabo la segunda vuelta presidencial, en este proceso democrático se enfrentará Gustavo Petro, representante ...",https://www.infobae.com/america/colombia/2022/06/13/ingrid-betancourt-aseguro-que-habra-fraude-en-la-segunda-vuelta-y-que-gustavo-petro-quieren-comprar-2-millones-de-votos/
12,"“Mínimo tenemos que comprar 70.000 votos”: audio comprometería al senador conservador Laureano Acuña
mié, 16 feb 2022
Aida Merlano, a través de su abogado Miguel Ángel del Río, sigue revelando pruebas que darían cuenta de la corrupción ...",https://www.infobae.com/america/colombia/2022/02/17/minimo-tenemos-que-comprar-70000-votos-audio-comprometeria-al-senador-conservador-laureano-acuna/
13,"Capturan a concejal de Zipaquirá por presunta compra de votos
dom, 13 mar 2022
Este 13 de marzo, la concejal de Zipaquirá, Lucila Caicedo Bernal, fue capturada por la Policía Nacional, pues fue señalada ...",https://www.infobae.com/america/colombia/2022/03/14/capturan-a-concejal-de-zipaquira-por-presunta-compra-de-votos/
14,"La MOE ha recibido al menos 66 denuncias por compra de votos
jue, 10 mar 2022
Faltan solo dos días para las elecciones del Congreso en Colombia y ya se conocen datos sobre los presuntos hechos ...",https://www.infobae.com/america/colombia/2022/03/11/la-moe-ha-recibido-al-menos-66-denuncias-por-compra-de-votos/
15,"Más grabaciones del senador Laureano Acuña sobre ilegalidades en las elecciones: “La Fiscalía tiene claro ...
jue, 3 mar 2022
Quedan algunos días para que Colombia viva su primera jornada de votaciones y, de nuevo, salen a relucir audios del ...",https://www.infobae.com/america/colombia/2022/03/03/mas-grabaciones-del-senador-laureano-acuna-sobre-ilegalidades-en-las-elecciones-la-fiscalia-tiene-claro-que-en-el-atlantico-se-compran-votos/
16,"“Petro solo puede ganar con fraude, comprando votos con millones de dólares de la mafia”: ...
lun, 30 may 2022 / By César Ramírez
En la mañana de este 30 de mayo, el ex vicepresidente y exembajador de Colombia en Washington, Francisco Santos , ...",https://www.infobae.com/america/colombia/2022/05/30/petro-solo-puede-ganar-con-fraude-comprando-votos-con-millones-de-dolares-de-la-mafia-pacho-santos/
17,"Hinchas del Deportivo Cali le habrían pedido a Tulio Gómez que compre el equipo
mar, 14 mar 2023 / By Diego Rey
El máximo accionista del América de Cali, Tulio Gómez se pronunció en las últimas horas sobre el panorama del equipo ...",https://www.infobae.com/colombia/2023/03/14/hinchas-del-deportivo-cali-le-habrian-pedido-a-tulio-gomez-que-compre-el-equipo/
18,"Aida Merlano: caso de compra de votos es opacado por novela romántica con Álex Char
vie, 4 feb 2022
La novela entre Aída Merlano y Álex Char tiene otro capítulo. Entre todas las acusaciones que ha presentado Merlano a ...",https://www.infobae.com/america/colombia/2022/02/05/aida-merlano-caso-de-compra-de-votos-es-opacado-por-novela-romantica-con-alex-char/
19,"Alejandro Char se refirió a la compra de votos y su relación con Aida Merlano: ...
sáb, 5 feb 2022
En las últimas horas se ha desatado toda una polémica política por las declaraciones que la excongresista y prófuga de ...",https://www.infobae.com/america/colombia/2022/02/05/alejandro-char-se-refirio-a-la-compra-de-votos-y-su-relacion-con-aida-merlano-cometi-un-error/
20,"“Compre el mercado del otro día si alcanza, pero vote por Petro”: polémica declaración del ...
jue, 3 mar 2022
No deja de despertar pasiones y polémicas el precandidato presidencial por el Pacto Histórico, Gustavo Petro, quien está recorriendo el ...",https://www.infobae.com/america/colombia/2022/03/03/compre-el-mercado-del-otro-dia-si-alcanza-pero-vote-por-petro-polemica-declaracion-del-precandidato-en-manizales-sobre-venta-de-votos/
21,"Policía captura a concejal y dos personas más por presunta compra de votos en Colombia
dom, 13 mar 2022
En medio de la jornada electoral que avanza en Colombia, la Policía Nacional anunció que capturaron a un concejal y ...",https://www.infobae.com/america/colombia/2022/03/13/policia-captura-a-concejal-y-dos-personas-mas-por-presunta-compra-de-votos-en-colombia/
22,"Según Gustavo Petro, recursos de la reforma tributaria se usarán para comprar votos y no ...
vie, 10 sept 2021
Luego de darse la aprobación de la nueva reforma tributaria, desde una especie de conciliación, y está pasar a sanción ...",https://www.infobae.com/america/colombia/2021/09/10/segun-gustavo-petro-recursos-de-la-reforma-tributaria-se-usaran-para-comprar-votos-y-no-para-superar-la-pobreza/
23,"Compra de votos de Aída Merlano: excoordinador de la campaña asegura que Julio Gerlein enviaba ...
mié, 16 feb 2022
En la Sala de Primera Instancia de la Corta Suprema de Justicia, se reinició el juicio contra la ex-congresista, Aida ...",https://www.infobae.com/america/colombia/2022/02/16/compra-de-votos-de-aida-merlano-excoordinador-de-la-campana-asegura-que-julio-gerlein-enviaba-bolsas-con-billetes/
24,"Denuncian plan para asesinar al ingeniero que entregó videos con los que se evidenció compra ...
jue, 10 feb 2022
Miguel Ángel del Río, el apoderado de la prófuga y controvertida congresista Aida Merlano, del Partido Conservador, quien fue condenada ...",https://www.infobae.com/america/colombia/2022/02/10/denuncian-plan-para-asesinar-al-ingeniero-que-entrego-videos-con-los-que-se-evidencio-compra-de-votos-para-aida-merlano/
25,"Revelan audios que probarían que los clanes Char y Gerlein financiaron la compra de votos ...
jue, 10 feb 2022
Un audio de tres minutos es la primera prueba que Aida Merlano, a través de su abogado Miguel Ángel del ...",https://www.infobae.com/america/colombia/2022/02/10/revelan-audios-que-probarian-que-los-clanes-char-y-gerlein-financiaron-la-compra-de-votos-a-favor-de-aida-merlano/
26,"Por compra de votos, víctimas anunciaron que demandarán la elección del hijo del paramilitar ‘Jorge ...
mié, 16 mar 2022
No cesa la controversia por la elección como congresista de Jorge Rodrigo Tovar (conocido como Yoyo), hijo del paramilitar ‘Jorge ...",https://www.infobae.com/america/colombia/2022/03/16/por-compra-de-votos-victimas-anunciaron-que-demandaran-la-eleccion-del-hijo-del-paramilitar-jorge-40-en-curul-de-paz/
27,"Senador Efraín Cepeda involucrado en un presunto caso de compra de votos
mié, 16 feb 2022
En época de elecciones, desde la dinámica de la corrupción crecen estímulos para favorecer algunos candidatos, pues la compra de ...",https://www.infobae.com/america/colombia/2022/02/16/senador-efrain-cepeda-involucrado-en-un-presunto-caso-de-compra-de-votos/
28,"Juez negó medida de aseguramiento en contra de Aída Merlano: la excongresista no tendrá que ...
mar, 9 may 2023 / By Paola Chacón
En el curso del caso que enfrenta la excongresista Aida Merlano , quien está siendo procesada por el delito de ...",https://www.infobae.com/colombia/2023/05/09/juez-nego-medida-de-aseguramiento-en-contra-de-aida-merlano-la-excongresista-no-tendra-que-permanecer-en-la-carcel-por-el-delito-de-fuga-de-presos/
29,"A indagatoria fue llamada la representante María Cristina Soto por supuesta compra de votos
dom, 14 nov 2021
María Cristina Soto, representante a la Cámara del Partido Conservador, fue llamada a indagatoria por parte de la Corte Suprema ...",https://www.infobae.com/america/colombia/2021/11/14/a-indagatoria-fue-llamada-la-representante-maria-cristina-soto-por-supuesta-compra-de-votos/
30,"Ariel Ávila revela cómo podrían alterar las elecciones en 2022 y no es comprando votos
mié, 1 sept 2021
Luego de las elecciones de 2018 de la primera vuelta presidencial, el analista político e investigador Ariel Ávila, a través ...",https://www.infobae.com/america/colombia/2021/09/02/ariel-avila-revela-como-podrian-alterar-las-elecciones-en-2022-y-no-es-comprando-votos/
31,"Con Gustavo Petro estamos viviendo una pesadilla. Compramos un pasaje hacia el infierno: María Fernanda ...
sáb, 6 may 2023 / By María Alejandra Castillo
Desde la ciudad de Cali, en donde se adelantó el viernes cinco de mayo un encuentro de representantes del Centro ...",https://www.infobae.com/colombia/2023/05/06/con-gustavo-petro-estamos-viviendo-una-pesadilla-compramos-un-pasaje-hacia-el-infierno-maria-fernanda-cabal/
32,"Audiencia de Aída Merlano fue aplazada por tercera vez: ahora qué fue lo que pasó
mié, 19 abr 2023 / By Julián Villamil
Por tercera vez, se aplazó la audiencia de imputación de cargos en contra la exrepresentante a la Cámara por el ...",https://www.infobae.com/colombia/2023/04/19/audiencia-de-aida-merlano-fue-aplazada-por-tercera-vez-ahora-que-fue-lo-que-paso/
33,"Autoridades incautaron $700 millones en operativos para evitar la compra de votos
jue, 16 jun 2022
En el marco del consejo de seguridad que se llevó a cabo en la ciudad de Medellín para garantizar la ...",https://www.infobae.com/america/colombia/2022/06/16/autoridades-incautaron-700-millones-en-operativos-para-evitar-la-compra-de-votos/
34,"Gustavo Petro confirma que hay infiltración de campañas e invita a tumbar a compradores de ...
dom, 15 may 2022
El candidato presidencial Gustavo Petro volvió a referirse a la supuesta infiltración de las campañas contrarias y afirmó que sí ...",https://www.infobae.com/america/colombia/2022/05/15/gustavo-petro-confirma-que-hay-infiltracion-de-campanas-e-invita-a-tumbar-a-compradores-de-votos/
35,"“Al menos no compré los votos como Cabal”: Matador reacciona a encuesta de líderes de ...
jue, 11 nov 2021
El caricaturista Julio César González conocido como ‘Matador’ subió un video en sus redes sociales en el que celebra el ...",https://www.infobae.com/america/colombia/2021/11/12/al-menos-no-compre-los-votos-como-cabal-matador-reacciona-a-encuesta-de-lideres-de-opinion/
36,"Aida Merlano tendrá un esquema de seguridad reforzado al interior de la cárcel y durante ...
jue, 18 may 2023 / By Alisson Betancourt
El 18 de mayo en la mañana, el Instituto Nacional Penitenciario y carcelario (INPEC) anunció que tras estudiar el caso ...",https://www.infobae.com/colombia/2023/05/18/aida-merlano-tendra-un-esquema-de-seguridad-reforzado-al-interior-de-la-carcel-y-durante-los-desplazamientos-que-deba-realizar/
37,"Quién es Aída Merlano, la congresista condenada por comprar votos que se fugó en la ...
mié, 2 oct 2019 / By Jorge Cantillo
En un insólito hecho digno de una novela de Gabriel García Márquez, la primera política colombiana condenada por compra de ...",https://www.infobae.com/america/colombia/2019/10/02/quien-es-aida-merlano-la-congresista-colombiana-condenada-por-comprar-votos-que-se-fugo-en-un-rappi-tras-saltar-por-una-ventana/
38,"Por compra de votos, Procuraduría inhabilita por 10 años a Aída Merlano
jue, 10 dic 2020
La exsenador Aída Merlano fue destituida e inhabilitada por 10 años por la Procuraduría General de la Nación , que ...",https://www.infobae.com/america/colombia/2020/12/10/por-compra-de-votos-procuraduria-inhabilita-por-10-anos-a-aida-merlano/
