,headers_text,headers_link
0,"Piden a la JEP solicitarle a Mancuso información por infiltración paramilitar en universidades
dom, 16 abr 2023 / By Juan Manuel Arias Montenegro
Tras años de solicitar su ingreso a la Jurisdicción Especial para la Paz (JEP) , el máximo jefe de las ...",https://www.infobae.com/colombia/2023/04/17/piden-a-la-jep-solicitarle-a-mancuso-informacion-por-infiltracion-paramilitar-en-universidades/
1,"¿Publicaron información falsa sobre el ELN el expresidente Álvaro Uribe y la senadora Paloma Valencia?
mar, 18 abr 2023 / By José David Rodríguez
El que fuera presidente de Colombia en los periodos 2002-2008 y 2008-2012, y una de sus más fieles escuderas fueron ...",https://www.infobae.com/colombia/2023/04/18/el-expresidente-alvaro-uribe-y-la-senadora-paloma-valencia-publicaron-informacion-falsa-sobre-el-eln-en-twitter/
2,"Álvaro Uribe alerta sobre la seguridad de Federico Gutiérrez, asegura que posee “información seria”
mar, 10 may 2022
Tras una caldeada campaña presidencial, que se ha caracterizado por cuestionamientos desde todos los sectores, el expresidente Álvaro Uribe Vélez ...",https://www.infobae.com/america/colombia/2022/05/10/alvaro-uribe-alerta-sobre-la-seguridad-de-federico-gutierrez-asegura-que-posee-informacion-seria/
3,"Expresidente Andrés Pastrana sería demandando por Indra y si pierde tendría que pagar más de ...
sáb, 22 abr 2023 / By José David Rodríguez
La empresa española Indra, que se encargó del software electoral que se usó en las pasadas votaciones presidenciales en Colombia, ...",https://www.infobae.com/colombia/2023/04/22/expresidente-andres-pastrana-seria-demandando-por-indra-y-si-pierde-tendria-que-pagar-mas-de-225000-millones/
4,"Capturaron a tres oficiales del Ejército en plena base militar acusados de corrupción
jue, 9 mar 2023
En la ciudad de Bogotá fueron capturados durante la mañana del jueves 9 de marzo tres oficiales dentro de una ...",https://www.infobae.com/colombia/2023/03/09/capturaron-a-tres-oficiales-del-ejercito-en-plena-base-militar-acusados-de-corrupcion/
5,"Militares de la Brigada XX del Ejército habrían sido responsables de más de 50 ejecuciones ...
jue, 9 mar 2023 / By Luis Benito
La Jurisdicción Especial para la Paz (JEP) ordenó medidas de protección sobre archivos de inteligencia y contrainteligencia de la antigua ...",https://www.infobae.com/colombia/2023/03/09/militares-de-la-brigada-xx-del-ejercito-habrian-sido-responsables-de-mas-de-50-ejecuciones-extrajudiciales-jep-ordeno-proteger-los-archivos-de-inteligencia/
6,"Medellín ofrece hasta $10 millones de recompensa por información sobre expendios de pólvora
mié, 28 dic 2022
La Alcaldía de Medellín presentó las medidas de control y seguridad que se están realizando en el marco de la ...",https://www.infobae.com/america/colombia/2022/12/28/medellin-ofrece-hasta-10-millones-de-recompensa-por-informacion-sobre-expendios-de-polvora/
7,"‘Si no’ y ‘sino’: cuándo se usan estas expresiones
mar, 14 mar 2023 / By Anayeli Tapia Sandoval
Una de las primeras enseñanzas en la escuela es aprender a escribir , sin embargo, hacerlo de forma correcta no ...",https://www.infobae.com/noticias/2023/03/14/si-no-y-sino-cuando-se-usan-estas-expresiones/
8,"Continúa la ‘novela’ contra Álvaro Uribe Vélez por presunta manipulación de testigos
dom, 2 oct 2022
El próximo lunes 10 de octubre la Corte Suprema de Justicia deberá responder la nueva petición de la Fiscalía General ...",https://www.infobae.com/america/colombia/2022/10/02/continua-la-novela-contra-alvaro-uribe-velez-por-presunta-manipulacion-de-testigos/
9,"Fiscalía acusa a tres empresarios involucrados en el caso Centros Poblados
mié, 11 ene 2023
En la tarde del martes 11 de enero de 2023, la Fiscalía General de la Nación confirmó que acusó formalmente ...",https://www.infobae.com/america/colombia/2023/01/12/fiscalia-acusa-a-tres-empresarios-involucrados-en-el-caso-centros-poblados/
10,"Corte Constitucional mantiene la imputación de Álvaro Uribe por manipulación de testigos
jue, 16 jun 2022
La Corte Constitucional de Colombia tomó la decisión de mantener la calidad de imputado al expresidente de la República, Álvaro ...",https://www.infobae.com/america/colombia/2022/06/16/corte-constitucional-mantiene-la-imputacion-de-alvaro-uribe-por-manipulacion-de-testigos/
11,"Para 2025 habrá 200.000 millones de datos disponibles en la nube para uso de las ...
dom, 27 nov 2022 / By Juan Pablo Escobar
Las bases de datos son sóftwares especializados en el almacenamiento de datos de las empresas, de forma ordenada y categorizada ...",https://www.infobae.com/america/colombia/2022/11/27/para-2025-habra-200000-millones-de-datos-disponibles-en-la-nube-para-uso-de-las-empresas/
