,titles,links,percents
0,PSOE hace efectiva la suspensión del 'número 2' de la lista de Mojácar (Almería) tras su detención,https://www.europapress.es/andalucia/almeria-00350/noticia-psoe-hace-efectiva-suspension-numero-lista-psoe-mojacar-almeria-detencion-20230524202349.html,38%
1,La presunta trama de Mojácar (Almería) trataba de captar votos entre ciudadanos de origen latinoamericano,https://www.europapress.es/nacional/noticia-presunta-trama-mojacar-almeria-trataba-captar-votos-ciudadanos-origen-latinoamericano-20230524193514.html,29%
2,El Supremo de Colombia ratifica que no investigará a Uribe por la compra de votos a favor de Duque,https://www.europapress.es/internacional/noticia-supremo-colombia-ratifica-no-investigara-uribe-compra-votos-favor-duque-20230201124928.html,46%
3,El Supremo de Colombia desiste de investigar a Uribe por la compra de votos en la campaña de Iván Duque,https://www.europapress.es/internacional/noticia-supremo-colombia-desiste-investigar-uribe-compra-votos-campana-ivan-duque-20221110175527.html,54%
4,Condenan a siete años de arresto domiciliario a la hija de la exdiputada colombiana Aída Merlano por facilitar su fuga,https://www.europapress.es/internacional/noticia-condenan-siete-anos-arresto-domiciliario-hija-exdiputada-colombiana-aida-merlano-facilitar-fuga-20220914114439.html,29%
5,La Fiscalía archiva la causa contra la ex asistente de Uribe por la compra de votos a favor de Duque,https://www.europapress.es/internacional/noticia-fiscalia-archiva-causa-contra-ex-asistente-uribe-compra-votos-favor-duque-20220712130001.html,37%
6,Colombia impone de nuevo la 'ley seca' para la segunda vuelta de las elecciones,https://www.europapress.es/internacional/noticia-colombia-impone-nuevo-ley-seca-segunda-vuelta-elecciones-20220612070723.html,37%
7,La MOE alerta de irregularidades durante las elecciones presidenciales de este domingo en Colombia,https://www.europapress.es/internacional/noticia-moe-alerta-irregularidades-elecciones-presidenciales-domingo-colombia-20220530014015.html,29%
8,El Gobierno de Colombia refuerza la seguridad del candidato a la Presidencia 'Fico' tras recibir amenazas,https://www.europapress.es/internacional/noticia-gobierno-colombia-refuerza-seguridad-candidato-presidencia-fico-recibir-amenazas-20220518170817.html,37%
9,La campaña de 'Fico' Gutiérrez denuncia la presencia de un micrófono en su sede en Medellín,https://www.europapress.es/internacional/noticia-campana-fico-gutierrez-denuncia-presencia-microfono-sede-medellin-20220517182655.html,37%
10,"Duque defiende que su campaña fue ""transparente"" tras ser acusado de utilizar dinero público en 2018",https://www.europapress.es/internacional/noticia-duque-defiende-campana-fue-transparente-ser-acusado-utilizar-dinero-publico-2018-20220504164447.html,46%
11,Vidal (MÉS) participa en una misión de observación electoral en Colombia para evitar la compra de votos,https://www.europapress.es/illes-balears/noticia-vidal-mes-participa-mision-observacion-electoral-colombia-evitar-compra-votos-20220311190253.html,29%
12,"Investigan a Iván Duque, Uribe y Santos por financiación irregular tras las acusaciones de Merlano",https://www.europapress.es/internacional/noticia-investigan-ivan-duque-uribe-santos-financiacion-irregular-acusaciones-merlano-20220212150637.html,37%
13,La Cámara de Colombia archiva una investigación sobre la financiación irregular de la campaña de Duque,https://www.europapress.es/internacional/noticia-camara-colombia-archiva-investigacion-financiacion-irregular-campana-duque-20211215180745.html,29%
14,El Consejo Electoral de Colombia archiva la causa por financiación irregular del presidente Duque,https://www.europapress.es/internacional/noticia-consejo-electoral-colombia-archiva-causa-financiacion-irregular-presidente-duque-20211028214433.html,29%
15,El Constitucional colombiano otorga autoridad jurídica al partido de Petro para las próximas elecciones,https://www.europapress.es/internacional/noticia-constitucional-colombiano-otorga-autoridad-juridica-partido-petro-proximas-elecciones-20210917173039.html,37%
16,Inhabilitan durante diez años a la excongresista colombiana Aída Merlano por la compra de votos,https://www.europapress.es/internacional/noticia-inhabilitan-diez-anos-excongresista-colombiana-aida-merlano-compra-votos-20201211042306.html,29%
17,"Las disidencias de las FARC acusan a Duque de ganar las elecciones ""con el dinero de la cocaína""",https://www.europapress.es/internacional/noticia-disidencias-farc-acusan-duque-ganar-elecciones-dinero-cocaina-20200929070439.html,37%
18,El TSJ de Colombia mantiene su investigación contra Uribe por la supuesta compra de votos en favor de Duque,https://www.europapress.es/internacional/noticia-tsj-colombia-mantiene-investigacion-contra-uribe-supuesta-compra-votos-favor-duque-20200929031233.html,54%
19,"Duque alerta sobre las ""estafetas del 'neochavismo'"" en Colombia",https://www.europapress.es/internacional/noticia-duque-alerta-estafetas-neochavismo-colombia-20200709171455.html,29%
20,"La vicepresidenta Ramírez asegura que Duque ""no sabía"" que su hermano fue condenado por narcotráfico",https://www.europapress.es/internacional/noticia-vicepresidenta-ramirez-asegura-duque-no-sabia-hermano-fue-condenado-narcotrafico-20200616030259.html,37%
21,El Supremo de Colombia cita al presidente Iván Duque por un caso de corrupción electoral,https://www.europapress.es/internacional/noticia-supremo-colombia-cita-presidente-ivan-duque-caso-corrupcion-electoral-20200613135733.html,29%
22,"Petro acusa a la Fiscalía de querer defender a su ""amigo íntimo"" Duque acusándole a él de financiación ilegal",https://www.europapress.es/internacional/noticia-petro-acusa-fiscalia-querer-defender-amigo-intimo-duque-acusandole-financiacion-ilegal-20200527033220.html,37%
23,Piden cambiar al fiscal que investiga la compra de votos en las elecciones de 2018 por su relación con Duque,https://www.europapress.es/internacional/noticia-piden-cambiar-fiscal-investiga-compra-votos-elecciones-2018-relacion-duque-20200317020110.html,37%
24,El Supremo de Colombia abre una investigación preliminar contra Uribe por corrupción,https://www.europapress.es/internacional/noticia-supremo-colombia-abre-investigacion-preliminar-contra-uribe-corrupcion-20200312222834.html,46%
25,"Cabello dice que Colombia es ""un problema de salud pública"" por el narcotráfico",https://www.europapress.es/internacional/noticia-cabello-dice-colombia-problema-salud-publica-narcotrafico-20200312135003.html,29%
26,La Fiscalía de Colombia investigará el viaje en un avión del Ejército del supuesto narco 'Ñeñe' Hernández,https://www.europapress.es/internacional/noticia-fiscalia-colombia-investigara-viaje-avion-ejercito-supuesto-narco-nene-hernandez-20200311053826.html,29%
27,Uribe admite que una de las personas del audio que le inculpa en la compra de votos podría ser su asesora,https://www.europapress.es/internacional/noticia-uribe-admite-personas-audio-le-inculpa-compra-votos-podria-ser-asesora-20200310025834.html,29%
28,El ex ministro de Defensa de Colombia insiste en desmarcarse del 'Ñeñe' tras la polémica por supuesto fraude electoral,https://www.europapress.es/internacional/noticia-ex-ministro-defensa-colombia-insiste-desmarcarse-nene-polemica-supuesto-fraude-electoral-20200309154408.html,29%
29,Uribe niega conocer a las personas que le nombraron en una conversación para comprar votos en las generales,https://www.europapress.es/internacional/noticia-uribe-niega-conocer-hombres-le-nombraron-conversacion-comprar-votos-generales-20200306023921.html,37%
30,La Fiscalía de Colombia ordena tramitar una investigación contra Duque por posible fraude electoral,https://www.europapress.es/internacional/noticia-fiscalia-colombia-ordena-tramitar-investigacion-contra-duque-posible-fraude-electoral-20200305042344.html,29%
31,Una comisión del Congreso de Colombia abre una investigación contra Duque por el caso Merlano,https://www.europapress.es/internacional/noticia-comision-congreso-colombia-abre-investigacion-contra-duque-caso-merlano-20200225035608.html,46%
32,Abren una investigación contra el senador Arturo Char por su presunta implicación en la fuga de Aida Merlano,https://www.europapress.es/internacional/noticia-abren-investigacion-contra-senador-arturo-char-presunta-implicacion-fuga-aida-merlano-20200220235546.html,37%
33,"El jefe de campaña de Duque responde a las acusaciones de Merlano y dice que cumplieron la ley ""estrictamente""",https://www.europapress.es/internacional/noticia-jefe-campana-duque-responde-acusaciones-merlano-dice-cumplieron-ley-estrictamente-20200218174014.html,37%
