,headers_text,headers_link
0,"Campaña presidencial de Petro habría violado los topes electorales con sus “Guardianes del cambio”
mié, 3 may 2023 / By Luis Benito
Durante la campaña presidencial de 2022, el hoy presidente Gustavo Petro alertó en diversas ocasiones que podría ser víctima de ...",https://www.infobae.com/colombia/2023/05/03/campana-presidencial-de-petro-habria-violado-topes-electorales-con-sus-guardianes-del-cambio/
1,"Código Electoral: el proyecto fue aprobado en segundo debate del Senado
mié, 17 may 2023 / By Julián Villamil
Recientemente, en la plenaria del Senado se aprobó en segundo debate de la reforma del Código Electoral con 55 votos ...",https://www.infobae.com/colombia/2023/05/17/codigo-electoral-el-proyecto-fue-aprobado-en-segundo-debate-del-senado/
2,"Qué es el voto electrónico mixto y por qué ha generado tanta polémica su aprobación ...
vie, 19 may 2023
A diferencia de otras reformas, la electoral no ha tenido muchas trabas en el Congreso de la República. La plenaria ...",https://www.infobae.com/colombia/2023/05/19/voto-electronico-mixto-y-otros-puntos-clave-de-la-reforma-electoral-aprobada-por-el-senado/
3,"“En Colombia no hay posibilidad de fraude electoral”: Alexander Vega
jue, 26 may 2022
Cuando sólo faltan tres días para las elecciones presidenciales, el registrador Alexander Vega, instaló la Misión Internacional de Observación Electoral ...",https://www.infobae.com/america/colombia/2022/05/27/en-colombia-no-hay-posibilidad-de-fraude-electoral-alexander-vega/
4,"Guerra de fiscales: Francisco Barbosa sería acusado de interferir en las elecciones de Ecuador; Eduardo ...
mar, 16 may 2023 / By César Fuquen
No solo en Colombia acusan al fiscal general de la nación, Francisco Barbosa , de presunta participación política indebida. En ...",https://www.infobae.com/colombia/2023/05/16/guerra-de-fiscales-francisco-barbosa-seria-acusado-de-interferir-en-las-elecciones-de-ecuador-eduardo-montealegre-encabezara-la-demanda/
5,"Gustavo Petro advirtió que “ya hay fraude electoral” en Colombia y anunció qué hará si ...
mié, 9 mar 2022
Comenzó la cuenta regresiva para que los colombianos elijan a los nuevos congresistas y a tres de los candidatos presidenciales, ...",https://www.infobae.com/america/colombia/2022/03/09/gustavo-petro-advirtio-que-ya-hay-fraude-electoral-en-colombia-y-anuncio-que-hara-si-pierde-las-elecciones/
6,"“Está ocultando la verdad”: Gustavo Petro le respondió a la vicepresidenta Marta Lucía Ramírez sobre ...
mar, 1 mar 2022
El pasado jueves, la vicepresidenta, Marta Lucía Ramírez , envió una carta al registrador nacional, Alexander Verga , en la ...",https://www.infobae.com/america/colombia/2022/03/01/esta-ocultando-la-verdad-gustavo-petro-le-respondio-a-la-vicepresidenta-marta-lucia-ramirez-sobre-posible-fraude-electoral/
7,"María Fernanda Cabal aseguró que si Petro gana las elecciones será por un “fraude electoral”
jue, 26 may 2022
En pocos días Colombia vivirá una jornada electoral y los ciudadanos podrán escoger quién será el nuevo presidente del país. ...",https://www.infobae.com/america/colombia/2022/05/26/maria-fernanda-cabal-aseguro-que-si-petro-gana-las-elecciones-sera-por-un-fraude-electoral/
8,"Denuncian supuesto fraude electoral: exigirían “padrino político” para trabajar en la Registraduría
lun, 14 feb 2022
Este lunes se conoció una denuncia que prende las alarmas frente a las elecciones al Congreso que se celebrarán el ...",https://www.infobae.com/america/colombia/2022/02/14/denuncian-supuesto-fraude-electoral-exigirian-padrino-politico-para-trabajar-en-la-registraduria/
9,"Miguel Polo Polo dice que presentará 700 reclamaciones por supuesto fraude electoral
lun, 25 abr 2022
Miguel Polo Polo perdió el pasado 13 de marzo la curul a la Cámara de Representantes por la Circunscripción Especial ...",https://www.infobae.com/america/colombia/2022/04/26/miguel-polo-polo-dice-que-presentara-700-reclamaciones-por-supuesto-fraude-electoral/
10,"Voto electrónico mixto en Colombia superó segundo debate en el Senado
mar, 16 may 2023 / By Daniel Ospina
Con una votación de 58 votos a favor y 10 en contra, la plenaria del Senado aprobó en la tarde ...",https://www.infobae.com/colombia/2023/05/17/voto-electronico-mixto-en-colombia-supero-segundo-debate-en-el-senado/
11,"Precandidatos presidenciales califican modificación de la Ley de Garantías como “fraude electoral”
sáb, 13 nov 2021
Tras la sanción al Presupuesto General de la Nación este viernes a pesar de la orden de un juez de ...",https://www.infobae.com/america/colombia/2021/11/13/precandidatos-presidenciales-califican-modificacion-de-la-ley-de-garantias-como-fraude-electoral/
12,"Piden anular la credencial presidencial de Petro por supuesto fraude electoral
mié, 6 jul 2022
El colectivo Patriotas Republicanos de Colombia interpuso una acción de tutela para anular la credencial presidencial de Gutavo Petro, además ...",https://www.infobae.com/america/colombia/2022/07/07/piden-anular-la-credencial-presidencial-de-petro-por-supuesto-fraude-electoral/
13,"Qué buscan los colombianos en Google para la segunda vuelta presidencial: corrupción y fraude, la ...
mar, 7 jun 2022
Este martes 7 de junio, Google dio a conocer el quinto boletín de tendencias de búsquedas de los colombianos de ...",https://www.infobae.com/america/tecno/2022/06/07/que-buscan-los-colombianos-en-google-para-la-segunda-vuelta-presidencial-corrupcion-y-fraude-la-tendencia/
14,"Consejo Nacional Electoral anularía expulsión de Humberto de la Calle y de Daniel Carvalho de ...
mar, 8 nov 2022
En los últimos minutos se conoció que el Consejo Nacional Electoral estaría ad portas de tomar una decisión sobre la ...",https://www.infobae.com/america/colombia/2022/11/08/consejo-nacional-electoral-anularia-expulsion-de-humberto-de-la-calle-y-de-daniel-carvalho-de-verde-oxigeno/
15,"MOE habla a la Registraduría y colombianos sobre lo que deberían hacer ante un posible ...
mié, 16 mar 2022
El pasado 13 de marzo, se llevaron a cabo las elecciones legislativas y las consultas interpartidistas en Colombia, y desde ...",https://www.infobae.com/america/colombia/2022/03/17/moe-habla-a-la-registraduria-y-colombianos-sobre-lo-que-deberian-hacer-ante-un-posible-fraude-electoral/
16,"Cómo denunciar el fraude electoral en las elecciones del 13 de marzo
sáb, 12 mar 2022
Este domingo 13 de marzo se llevarán a cabo las elecciones legislativas y las consultas interpartidistas en todo el territorio ...",https://www.infobae.com/america/colombia/2022/03/12/como-denunciar-el-fraude-electoral-en-las-elecciones-del-13-de-marzo/
17,"La canciller Marta Lucía Ramírez respondió a las denuncias de fraude electoral en puestos de ...
sáb, 12 mar 2022
La canciller y vicepresidenta Marta Lucía Ramírez, explicó en las últimas horas, la posición que, adoptado la cancillería desde hace ...",https://www.infobae.com/america/colombia/2022/03/12/la-canciller-marta-lucia-ramirez-respondio-a-las-denuncias-de-fraude-electoral-en-puestos-de-votacion-en-el-exterior/
18,"CNE le pidió a la Fiscalía auditar el software de cara a las elecciones de ...
mar, 14 jun 2022
Las elecciones presidenciales que se adelantan desde ayer lunes en el exterior para elegir al nuevo presidente de Colombia, deja ...",https://www.infobae.com/america/colombia/2022/06/14/cne-le-pidio-a-la-fiscalia-auditar-el-software-de-cara-a-las-elecciones-de-segunda-vuelta-para-evitar-fraude/
19,"Registrador pide acciones penales contra presidente del Congreso por señalarlo de incurrir en fraude
jue, 26 may 2022
Desde que se realizaron las elecciones legislativas en Colombia a mediados de marzo, el registrador Alexander Vega ha sido cuestionado ...",https://www.infobae.com/america/colombia/2022/05/26/registrador-pide-acciones-penales-contra-presidente-del-congreso-por-senalarlo-de-incurrir-en-fraude/
