,titles,links,percents
0,Fujimori defiende a Boluarte de Petro y López Obrador y admite así que no hubo fraude en las elecciones de 2021,https://www.europapress.es/internacional/noticia-fujimori-defiende-boluarte-petro-lopez-obrador-admite-asi-no-hubo-fraude-elecciones-2021-20230517181918.html,45%
1,"Morón (VOX) muestra su ""preocupación"" por la visita a España del presidente de Colombia",https://www.europapress.es/aragon/noticia-moron-vox-muestra-preocupacion-visita-espana-presidente-colombia-20230503184147.html,35%
2,"Honduras buscará frente a EEUU un ""equilibrio"" en materia migratoria porque no todo es ""endurecer"" las leyes",https://www.europapress.es/internacional/noticia-honduras-buscara-frente-eeuu-equilibrio-materia-migratoria-porque-no-todo-endurecer-leyes-20230222214814.html,45%
3,Simpatizantes de Bolsonaro asaltan instituciones de Brasil | Bolsonaro confirma su ingreso en un hospital de EEUU,https://www.europapress.es/internacional/noticia-bolsonaritas-asaltan-instituciones-brasilenas-sigue-directo-todas-noticias-20230108215250.html,35%
4,"La exministra Durand: Lo de Castillo es una ""maniobra desesperada"" por destrabar la situación de ""ilegitimidad""",https://www.europapress.es/internacional/noticia-exministra-durand-castillo-maniobra-desesperada-destrabar-situacion-ilegitimidad-20221217102147.html,25%
5,"López Obrador denuncia la ""guerra sucia"" a la que se enfrenta Petro en la campaña electoral de Colombia",https://www.europapress.es/internacional/noticia-lopez-obrador-denuncia-guerra-sucia-enfrenta-petro-campana-electoral-colombia-20220603175938.html,35%
6,"Gustavo Petro alerta de que ""tienen pensado suspender las elecciones"" de Colombia",https://www.europapress.es/internacional/noticia-gustavo-petro-alerta-tienen-pensado-suspender-elecciones-colombia-20220522062320.html,35%
7,"Duque defiende que su campaña fue ""transparente"" tras ser acusado de utilizar dinero público en 2018",https://www.europapress.es/internacional/noticia-duque-defiende-campana-fue-transparente-ser-acusado-utilizar-dinero-publico-2018-20220504164447.html,45%
8,La Registraduría anuncia que no solicitará un recuento de votos para el Senado de Colombia,https://www.europapress.es/internacional/noticia-registraduria-anuncia-no-solicitara-recuento-votos-senado-colombia-20220323003449.html,35%
9,"Petro denuncia un ""golpe de Estado"" por el recuento de los votos al Senado de Colombia",https://www.europapress.es/internacional/noticia-petro-denuncia-golpe-estado-recuento-votos-senado-colombia-20220321234000.html,25%
