,titles,links,percents
0,"La AN celebra desde mañana el juicio contra 'Los Miami', una ""complejísima"" organización con proyección internacional",https://www.europapress.es/nacional/noticia-an-celebra-manana-juicio-contra-miami-complejisima-organizacion-proyeccion-internacional-20230305104751.html,29%
1,La CNMV multa a Abengoa con 100.000 euros por no remitir en plazo su informe financiero de 2019,https://www.europapress.es/andalucia/sevilla-00357/noticia-cnmv-multa-abengoa-100000-euros-no-remitir-plazo-informe-financiero-2019-20221227112308.html,29%
2,"La CNMV multa a Squirrel, Abengoa, Codere y Renta 4 Banco con casi medio millón de euros",https://www.europapress.es/economia/noticia-cnmv-multa-squirrel-abengoa-codere-renta-banco-casi-medio-millon-euros-20221227110545.html,29%
3,Detienen a cinco personas en Recas y desmantelan un laboratorio que podía producir 150 kilos de cocaína al mes,https://www.europapress.es/castilla-lamancha/noticia-detienen-cinco-personas-recas-desmantelan-laboratorio-podia-producir-150-kilos-cocaina-mes-20211212102207.html,29%
4,"El Constitucional colombiano rechaza el recurso de amparo del expresidente Uribe, que seguirá imputado",https://www.europapress.es/internacional/noticia-constitucional-colombiano-rechaza-recurso-amparo-expresidente-uribe-seguira-imputado-20211111055502.html,29%
5,El Supremo rechaza una denuncia de Uribe contra el senador Cepeda en el caso de manipulación de testigos,https://www.europapress.es/internacional/noticia-supremo-rechaza-denuncia-uribe-contra-senador-cepeda-caso-manipulacion-testigos-20211109182238.html,29%
6,"El periodista Rafael Vilasanjuan reivindica en un libro la inmigración como una ""oportunidad""",https://www.europapress.es/catalunya/noticia-periodista-rafael-vilasanjuan-reivindica-libro-inmigracion-oportunidad-20210501100134.html,29%
7,La Fiscalía de Colombia solicita el sobreseimiento del caso contra Álvaro Uribe por manipulación de testigos,https://www.europapress.es/internacional/noticia-fiscalia-colombia-solicita-sobreseimiento-caso-contra-alvaro-uribe-manipulacion-testigos-20210305143807.html,29%
8,El mundo no aborda las necesidades de salud de 630 millones de mujeres y niños afectados por el conflicto armado,https://www.infosalus.com/asistencia/noticia-mundo-no-aborda-necesidades-salud-630-millones-mujeres-ninos-afectados-conflicto-armado-20210125171302.html,29%
9,"La defensa del expresidente Uribe insiste en que es ""absolutamente"" inocente",https://www.europapress.es/internacional/noticia-defensa-expresidente-uribe-insiste-absolutamente-inocente-20200806014202.html,29%
10,Desarticulan una organización que explotaba sexualmente a mujeres desde Castalla,https://www.europapress.es/comunitat-valenciana/noticia-desarticulan-organizacion-explotaba-sexualmente-mujeres-castalla-20200130133228.html,29%
11,Uribe advierte de que le quieren inculpar en los casos del supuesto espionaje del Ejército de Colombia,https://www.europapress.es/internacional/noticia-uribe-advierte-le-quieren-inculpar-casos-supuesto-espionaje-ejercito-colombia-20200113054740.html,29%
12,"La OEA confirma ""irregularidades"", algunas ""muy graves"", en las elecciones presidenciales de Bolivia",https://www.europapress.es/internacional/noticia-oea-confirma-irregularidades-algunas-muy-graves-elecciones-presidenciales-bolivia-20191112221654.html,29%
13,Más de una decena de firmas hortofrutícolas de Andalucía promocionan su oferta de cítricos en Brasil de mano de Extenda,https://www.europapress.es/esandalucia/sevilla/noticia-mas-decena-firmas-hortofruticolas-andalucia-promocionan-oferta-citricos-brasil-mano-extenda-20180924162741.html,29%
14,El Supremo cita a Uribe para el 3 de septiembre por el caso de manipulación de testigos,https://www.europapress.es/internacional/noticia-supremo-cita-uribe-septiembre-caso-manipulacion-testigos-20180730191749.html,29%
15,Para impulsar el sector marítimo y portuario de América Latina se necesitan USD 55.000 millones a 2040,https://www.notimerica.com/oficial/noticia-impulsar-sector-maritimo-portuario-america-latina-necesitan-usd-55000-millones-2040-20180704123350.html,29%
16,"Procesados 92 miembros de 'Los Miami' por introducir en España 7,5 toneladas de cocaína",https://www.europapress.es/nacional/noticia-procesados-92-miembros-miami-introducir-espana-75-toneladas-cocaina-20180331095635.html,29%
17,El Gobierno nombra una embajadora especial para las amenazas híbridas y la ciberseguridad,https://www.europapress.es/nacional/noticia-gobierno-nombra-embajadora-especial-amenazas-hibridas-ciberseguridad-20180309163405.html,29%
18,33 detenidos de una red de drogas en Ciudad Real e incautados 12 kilos de cocaína,https://www.europapress.es/castilla-lamancha/noticia-33-detenidos-red-drogas-ciudad-real-incautados-12-kilos-cocaina-20170104121745.html,29%
19,"El 25% de los municipios colombianos presentan ""riesgos electorales"" de cara al plebiscito por la paz",https://www.europapress.es/internacional/noticia-25-municipios-colombianos-presentan-riesgos-electorales-cara-plebiscito-paz-20160812235735.html,29%
20,Dos detenidos y dos investigados en Andalucía por distribución de pornografía infantil,https://www.europapress.es/andalucia/sevilla-00357/noticia-dos-detenidos-dos-investigados-andalucia-operacion-contra-distribucion-pornografia-infantil-20160704141411.html,29%
21,Registros en Cáceres en una operación contra el porno infantil a nivel nacional,https://www.europapress.es/galicia/noticia-detenidas-espana-19-personas-operacion-contra-pornografia-infantil-20160704102005.html,29%
22,19 detenidos por distribución de pornografía infantil en España,https://www.europapress.es/castilla-lamancha/noticia-19-detenidos-operacion-internacional-contra-distribucion-pornografia-infantil-20160704082145.html,29%
23,18 detenidos en una operación contra la pornografía infantil con registros en A Coruña,https://www.europapress.es/nacional/noticia-detenidas-19-personas-posesion-distribucion-pornografia-infantil-internet-20160704081610.html,29%
24,UE.- La Eurocámara critica la falta de garantías democráticas en Venezuela ante las próxim,https://www.europapress.es/internacional/noticia-ue-eurocamara-critica-falta-garantias-democraticas-venezuela-proxim-20151118163516.html,29%
25,"El presidente de RTVE confía en que la deducción del IVA resolverá su ""desventaja"" frente al resto de cadenas",https://www.europapress.es/sociedad/noticia-presidente-rtve-confia-deduccion-iva-resolvera-desventaja-frente-resto-cadenas-20150428143422.html,29%
26,54 detenidos por uso fraudulento de tarjetas bancarias extranjeras,https://www.europapress.es/nacional/noticia-54-detenidos-uso-fraudulento-tarjetas-bancarias-extranjeras-20150418115916.html,29%
27,Dos detenidos en A Coruña por el uso fraudulento de tarjetas,https://www.europapress.es/galicia/noticia-dos-detenidos-coruna-operacion-contra-uso-fraudulento-tarjetas-comunidades-54-arrestados-20150418110501.html,29%
29,8 accidentes aéreos provocados intencionadamente por pilotos,https://www.europapress.es/turismo/nacional/noticia-accidentes-aereos-provocados-intencionadamente-pilotos-20150326170315.html,29%
30,Toxicología detecta un nuevo tipo de intoxicación por la ingestión accidental de la carga del cigarrillo electrónico,https://www.infosalus.com/salud-investigacion/noticia-toxicologia-detecta-nuevo-tipo-intoxicacion-ingestion-accidental-carga-cigarrillo-electronico-20140423153524.html,29%
31,Rousseff rehúsa pronunciarse sobre la solicitud de asilo político de Snowden,https://www.europapress.es/portaltic/internet/noticia-rousseff-rehusa-pronunciarse-solicitud-asilo-politico-snowden-20131219094749.html,29%
32,COMUNICADO: Nemetschek Vectorworks lanza en español la Línea de Productos de Vectorworks 2013,https://www.europapress.es/economia/noticia-comunicado-nemetschek-vectorworks-lanza-espanol-linea-productos-vectorworks-2013-20121119113233.html,29%
34,Colombia.- Santos dice que el comunicado de las FARC sobre la entrega de armas es falso,https://www.europapress.es/internacional/noticia-colombia-santos-dice-comunicado-farc-entrega-armas-falso-20120602160158.html,29%
35,La Policía detiene a seis personas y se incauta de más de un kilo de cocaína en Zaragoza,https://www.europapress.es/sociedad/sucesos-00649/noticia-policia-detiene-seis-personas-incauta-mas-kilo-cocaina-zaragoza-20120210160207.html,29%
36,La Policía detiene a seis personas y se incauta de más de un kilo de cocaína,https://www.europapress.es/aragon/noticia-policia-detiene-seis-personas-incauta-mas-kilo-cocaina-20120210160051.html,29%
37,Desarticulado un clan familiar que utilizaba una furgoneta como laboratorio y una caravana para vender droga,https://www.europapress.es/murcia/noticia-desarticulado-clan-familiar-utilizaba-furgoneta-laboratorio-caravana-vender-droga-20110624160735.html,29%
38,La nueva antología de Visor 'Poesía ante la incertidumbre' se presenta este miércoles en León,https://www.europapress.es/cultura/noticia-nueva-antologia-visor-poesia-incertidumbre-presenta-miercoles-leon-20110518074817.html,29%
39,La Universidad de Málaga crea un sistema para catalogar videos por su contenido,https://www.europapress.es/portaltic/internet/noticia-universidad-malaga-crea-sistema-catalogar-videos-contenido-20101222154725.html,29%
