,titles,links,percents
0,Colombia rompe el alto el fuego con la disidencia de 'Iván Mordisco' tras la muerte de cuatro niños indígenas,https://www.europapress.es/internacional/noticia-colombia-rompe-alto-fuego-disidencia-ivan-mordisco-muerte-cuatro-ninos-indigenas-20230522143706.html,25%
1,La misión de la OEA en Colombia pide a los grupos armados que concreten el alto el fuego con el Gobierno,https://www.europapress.es/internacional/noticia-mision-oea-colombia-pide-grupos-armados-concreten-alto-fuego-gobierno-20230518044540.html,35%
2,"Abascal equipara al PP con PSC, ERC y Junts y alza a Vox para ""recuperar"" Cataluña",https://www.europapress.es/nacional/noticia-abascal-equipara-pp-psc-erc-junts-alza-vox-recuperar-cataluna-20230514142311.html,25%
3,"La vicepresidenta de Colombia defiende a la Primera Línea del paro nacional: ""Han sido estigmatizados""",https://www.europapress.es/internacional/noticia-vicepresidenta-colombia-defiende-primera-linea-paro-nacional-sido-estigmatizados-20230505192933.html,25%
4,"Petro afirma que la ""pandemia de fentanilo"" es un ""reflejo del fracaso de una política impuesta hace 50 años""",https://www.europapress.es/internacional/noticia-petro-afirma-pandemia-fentanilo-reflejo-fracaso-politica-impuesta-hace-50-anos-20230504155736.html,25%
5,"Batet traslada a Petro el ""apoyo firme"" de España al objetivo de la ""paz total"" en Colombia",https://www.europapress.es/nacional/noticia-congreso-senado-trasladan-petro-apoyo-firme-espana-objetivo-paz-colombia-20230503130752.html,35%
6,El programa Comunidad Glocal de la DPZ sigue con charlas sobre la situación en Colombia y norte de África,https://www.europapress.es/aragon/noticia-programa-comunidad-glocal-dpz-sigue-charlas-situacion-colombia-norte-africa-20230411153615.html,35%
7,"Evo Morales critica a la CIDH por ""defender a separatistas y golpistas""",https://www.europapress.es/internacional/noticia-evo-morales-critica-cidh-defender-separatistas-golpistas-20230403212735.html,25%
8,"El Gobierno de Colombia ""rechaza de manera rotunda"" estar beneficiando al narcotráfico",https://www.europapress.es/internacional/noticia-gobierno-colombia-rechaza-manera-rotunda-estar-beneficiando-narcotrafico-20230331162917.html,25%
9,"Feministas de Latinoamérica y Europa ""se plantan"" ante el ""populismo"" de Irene Montero o Claudia Sheimbum",https://www.europapress.es/epsocial/igualdad/noticia-feministas-latinoamerica-europa-plantan-populismo-irene-montero-claudia-sheimbum-20230330193446.html,25%
10,El presidente del Senado de Colombia advierte de un posible estallido social si el Gobierno no logra aprobar reformas,https://www.europapress.es/internacional/noticia-presidente-congreso-colombia-advierte-posible-estallido-social-si-gobierno-no-logra-aprobar-reformas-20230328181620.html,25%
11,"Zapatero alaba la ""memoria, restauración y justicia"" de Argentina en su democratización tras la dictadura",https://www.europapress.es/internacional/noticia-zapatero-alaba-memoria-restauracion-justicia-argentina-democratizacion-dictadura-20230322050947.html,35%
12,Por primera vez las mujeres están presentes en todos los parlamentos del mundo,https://www.europapress.es/internacional/noticia-primera-vez-mujeres-estan-presentes-todos-parlamentos-mundo-20230306224333.html,35%
13,"Mujeres de la Amazonía, Colombia, Venezuela, Honduras y Guatemala denuncian un modelo empresarial ""depredador""",https://www.europapress.es/epsocial/responsables/noticia-mujeres-amazonia-colombia-venezuela-honduras-guatemala-denuncian-modelo-empresarial-depredador-20230303122346.html,25%
14,Petro solicita a la Fiscalía de Colombia que investigue a su hermano y a su hijo mayor,https://www.europapress.es/internacional/noticia-petro-solicita-fiscalia-colombia-investigue-hermano-hijo-mayor-20230302193945.html,25%
15,"Petro afirma que las megacárceles de El Salvador ""son campos de concentración""",https://www.europapress.es/internacional/noticia-petro-afirma-megacarceles-salvador-son-campos-concentracion-20230302010554.html,25%
16,"La cobertura de la violencia machista en los medios provoca doble víctimización de la víctima, según un estudio",https://www.europapress.es/epsocial/igualdad/noticia-cobertura-violencia-machista-medios-provoca-doble-victimizacion-victima-estudio-20230301115652.html,35%
17,"Seis disturbios civiles provocaron pérdidas de 12.000 millones de dólares entre 2018 y 2023, según Allianz",https://www.europapress.es/economia/noticia-seis-disturbios-civiles-provocaron-perdidas-12000-millones-dolares-2018-2023-allianz-20230228110044.html,35%
18,Londoño pide a Petro que otorgue estatus político a 'Iván Márquez' y a otros líderes de las disidencias,https://www.europapress.es/internacional/noticia-londono-pide-petro-otorgue-estatus-politico-ivan-marquez-otros-lideres-disidencias-20230224193326.html,35%
19,Una nueva jornada Gizartegune destaca el papel de las mujeres en la Cooperación al Desarrollo,https://www.europapress.es/euskadi/noticia-nueva-jornada-gizartegune-destaca-papel-mujeres-cooperacion-desarrollo-20230223154415.html,25%
20,"Las solicitudes de protección internacional en Euskadi aumentan un 137% en 2022, al alcanzar las 4.086",https://www.europapress.es/euskadi/noticia-solicitudes-proteccion-internacional-euskadi-aumentan-137-2022-alcanzar-4086-20230223144711.html,35%
21,La OEA insta a las autoridades de Perú a convocar lo antes posible elecciones generales,https://www.europapress.es/internacional/noticia-oea-insta-autoridades-peru-convocar-antes-posible-elecciones-generales-20230131042842.html,25%
22,La CorteIDH condena al Estado colombiano por el exterminio de militantes de Unión Patriótica,https://www.europapress.es/internacional/noticia-corteidh-condena-estado-colombiano-exterminio-militantes-union-patriotica-20230130174827.html,35%
23,"Pepón Nieto, Martín Alonso Zara y José Luis del Barco, invitados de la semana en La Malagueta",https://www.europapress.es/andalucia/malaga-00356/noticia-pepon-nieto-martin-alonso-zara-jose-luis-barco-invitados-semana-malagueta-20230128104741.html,35%
24,El paramilitar 'Jorge 40' culpa al Estado colombiano de obligarle a tomar las armas,https://www.europapress.es/internacional/noticia-paramilitar-jorge-40-culpa-estado-colombiano-obligarle-tomar-armas-20230127123456.html,35%
25,Naciones Unidas insta a defender los DDHH de las víctimas en las negociaciones de paz en Colombia,https://www.europapress.es/internacional/noticia-naciones-unidas-insta-defender-ddhh-victimas-negociaciones-paz-colombia-20230126061205.html,25%
26,Maduro recibe a Zapatero en Caracas para abordar el inicio de los diálogos con la oposición,https://www.europapress.es/internacional/noticia-maduro-recibe-zapatero-caracas-abordar-inicio-dialogos-oposicion-20230120065341.html,25%
27,El antiguo líder de las FARC se ofrece a dialogar con el ELN para negociar el acuerdo de paz con el Gobierno de Colombia,https://www.europapress.es/internacional/noticia-antiguo-lider-farc-ofrece-dialogar-eln-negociar-acuerdo-paz-gobierno-colombia-20230113025431.html,25%
28,"HRW reivindica la necesidad de apoyar ""movimientos de protesta"" ante ""gobiernos abusivos"" para proteger los DDHH",https://www.europapress.es/internacional/noticia-hrw-reivindica-necesidad-apoyar-movimientos-protesta-gobiernos-abusivos-proteger-ddhh-20230112144006.html,35%
29,"La Policía brasileña recupera el control de Congreso, palacio presidencial y Supremo tras el asalto bolsonarista",https://www.europapress.es/internacional/noticia-fuerzas-seguridad-recuperan-control-congreso-palacio-presidencial-brasil-20230108230711.html,25%
30,Simpatizantes de Bolsonaro asaltan instituciones de Brasil | Bolsonaro confirma su ingreso en un hospital de EEUU,https://www.europapress.es/internacional/noticia-bolsonaritas-asaltan-instituciones-brasilenas-sigue-directo-todas-noticias-20230108215250.html,25%
31,Los líderes de América Latina claman contra el ataque a instituciones en Brasil y respaldan a Lula,https://www.europapress.es/internacional/noticia-lideres-america-latina-claman-contra-ataque-instituciones-brasil-respaldan-lula-20230108214927.html,25%
32,"Simpatizantes de Bolsonaro invaden el Congreso, el palacio presidencial y el Supremo de Brasil",https://www.europapress.es/internacional/noticia-simpatizantes-bolsonaro-invaden-congreso-brasileno-manifestacion-contra-lula-20230108194717.html,25%
33,Las 15 principales crisis humanitarias que marcarán 2023,https://www.europapress.es/internacional/noticia-15-principales-crisis-humanitarias-marcaran-2023-20230107082051.html,25%
34,La ONU reconoce los esfuerzos del Gobierno colombiano para alcanzar la paz,https://www.europapress.es/internacional/noticia-onu-reconoce-esfuerzos-gobierno-colombiano-alcanzar-paz-20230107044223.html,35%
35,Parlamentarios peruanos piden explicaciones a la ministra de Exteriores por expulsar al embajador de México,https://www.europapress.es/internacional/noticia-parlamentarios-peruanos-piden-explicaciones-ministra-exteriores-expulsar-embajador-mexico-20230104075629.html,35%
36,"Sánchez subraya ante las tropas en el exterior el ""compromiso ineludible"" de España con la paz",https://www.europapress.es/nacional/noticia-sanchez-subraya-tropas-exterior-compromiso-ineludible-espana-paz-20221224101916.html,35%
37,"El Gobierno de Perú transmite a Colombia su ""profundo malestar"" por las palabras de Petro en favor de Castillo",https://www.europapress.es/internacional/noticia-gobierno-peru-transmite-colombia-profundo-malestar-palabras-petro-favor-castillo-20221220061853.html,25%
38,El presidente de Colombia subraya que no está proponiendo legalizar la cocaína,https://www.europapress.es/internacional/noticia-presidente-colombia-subraya-no-proponiendo-legalizar-cocaina-20221218122726.html,45%
39,El Parlamento foral celebra con organizaciones sociales una lectura de la Declaración Universal de Derechos Humanos,https://www.europapress.es/navarra/noticia-parlamento-foral-celebra-organizaciones-sociales-lectura-declaracion-universal-derechos-humanos-20221210110224.html,25%
40,"Montero, arropada por Podemos, defiende la ley 'sí es sí' y pide unidad feminista ante la ""violencia política""",https://www.europapress.es/nacional/noticia-montero-arropada-podemos-defiende-ley-si-si-pide-unidad-feminista-violencia-politica-freno-20221126140530.html,35%
41,El Gobierno colombiano nombra a cuatro mujeres más a su equipo negociador con la ELN,https://www.europapress.es/internacional/noticia-gobierno-colombiano-nombra-cuatro-mujeres-mas-equipo-negociador-eln-20221126060811.html,25%
42,Petro alerta de que el conflicto armado en Colombia está camino de ser el nuevo Oriente Próximo,https://www.europapress.es/internacional/noticia-petro-alerta-conflicto-armado-colombia-camino-ser-nuevo-oriente-proximo-20221123135214.html,35%
43,España y Colombia firman un acuerdo de colaboración sobre igualdad,https://www.europapress.es/internacional/noticia-espana-colombia-firman-acuerdo-colaboracion-igualdad-20221113132127.html,25%
44,EEUU y Canadá sancionan a altos cargos de Haití por sus vínculos con el narcotráfico,https://www.europapress.es/internacional/noticia-eeuu-canada-sancionan-altos-cargos-haiti-vinculos-narcotrafico-20221104161428.html,25%
45,"Olona no descarta intentar volver al Congreso, aunque centra su futuro más próximo en combatir la ""ideología de género""",https://www.europapress.es/nacional/noticia-olona-no-descarta-intentar-volver-congreso-centra-futuro-mas-proximo-combatir-ideologia-genero-20221104130818.html,35%
46,"Macarena Olona lanza una fundación contra ""las leyes de género"" sin descartar su vuelta al Congreso",https://www.europapress.es/nacional/noticia-macarena-olona-lanza-fundacion-contra-leyes-genero-descartar-vuelta-congreso-20221104111430.html,35%
